	group	NDR6	SGR6	NDM	PH	PLR6	PWR6	SA	HSW	GY
P1xP2	1	107.625	16.625	133.875	83.40625	36.5025	9.08875	31.8175	14.20375	3093.1375
P1xP3	2	111	17.625	140.375	95.71875	44.74625	10.95375	44.17125	21.39625	2304.1625
P1xP4	2	108	17.5	136.875	90.1875	46.04	11.25125	46.14875	22.68875	2759.55
P1xP5	2	104.75	18.625	132.25	88.21875	45.065	11.295	42.765	21.89125	3013.4375
P1xP6	3	99	12.625	120	102.6625	39.8975	11.3925	43.13375	21.405	2828.25
P2xP3	3	101.5	11.25	125.5	102.03125	41.995	11.72375	45.69625	22.4125	2792
P2xP4	3	99.625	11.875	119.5	100.72875	40.43625	11.0225	45.1275	21.25125	3356.5625
P2xP5	3	102.75	11.125	123.625	105.9475	42.55375	11.89125	45.64125	22.2675	2154.0625
P2xP6	3	99.875	11.375	120.75	101.575	40.83875	11.70875	42.45625	22.32	2183.8875
P3xP4	2	109.625	18.875	137.5	88.15625	44.9075	10.81375	42.84375	22.06875	2762.65
P3xP5	2	108.25	22.25	139	84.28125	45.77625	11.1825	43.91625	21.46875	3667.4125
P3xP6	3	99.5	14.125	125	90.40625	42.42625	11.32625	42.89375	19.26875	3232.9
P4xP5	3	105.5	13.25	131.125	109.1875	42.84875	11.31	45.505	22.60125	2921.6125
P4xP6	3	104.125	13.875	128.5	82.03125	42.18625	10.80875	41.11125	20.42625	2077.9625
P5xP6	3	104.125	12.25	126.5	83.28125	44.37	11.1075	45.37	22.24125	2372.2625
P1 	2	108	16.875	137.5	83.4375	42.24125	10.5275	41.90875	20.60375	3529.9
P2 	1	107.125	14.375	128.875	77.71875	35.01375	8.89375	29.72375	12.7475	2807.875
P3 	1	106.25	15.625	134.625	90.21875	36.59125	9.57125	31.69625	13.79	2766.6625
P4 	1	106	14.75	135.625	81.78125	33.43	8.7325	28.47	11.69625	2822.55
P5 	1	108.5	17.5	135.75	86.46875	36.97875	9.32625	32.63	14.61875	3103.6625
P6 	1	107.375	16.625	135.25	80.1875	35.61	8.86	24.8875	9.2875	2310.875
