YEAR	MONTH	GLOBAL RADIATION (cal/cm.d)	SUNLIGHT (h/d)	PRECIPITATION (mm)	RELATIVE HUMIDITY (%)	 MAX TEMPERATURE (°C)	 MIN TEMPERATURE  (°C)	 AVERAGE TEMPERATURE  (°C)
1917 	JAN 			295.7		28.1	18.3	23.2
1918 	JAN 			291.0		29.4	18.6	24.0
1919 	JAN 			262.8		29.2	17.9	23.5
1920 	JAN 			209.9		30.8	18.6	24.7
1921 	JAN 		8.6	265.7		28.3	19.7	24.0
1922 	JAN 		8.7	387.2		28.6	19.9	24.2
1923 	JAN 		9.8	219.7		28.8	18.9	23.8
1924 	JAN 		10.4	108.5		28.3	17.9	23.1
1925 	JAN 		11.7	117.9		30.1	18.4	24.3
1926 	JAN 		4.3	237.0		28.8	19.9	24.3
1927 	JAN 		5.6	200.6		29.1	19.2	24.2
1928 	JAN 		7.4	195.5		30.5	18.2	24.4
1929 	JAN 		2.6	490.9		28.0	20.1	24.0
1930 	JAN 		5.7	257.0		29.9	19.0	24.5
1931 	JAN 		6.4	324.2		30.6	19.9	25.3
1932 	JAN 		4.8	204.2		28.0	18.0	23.0
1933 	JAN 		4.7	119.6		30.0	18.8	24.4
1934 	JAN 		4.2	220.0		29.2	19.1	24.1
1935 	JAN 		6.5	91.2		29.6	19.1	24.3
1936 	JAN 		7.7	84.8		31.4	19.1	25.3
1937 	JAN 		4.7	139.0		28.1	18.6	23.4
1938 	JAN 		6.0	158.3		31.2	20.2	25.7
1939 	JAN 		5.5	275.0		29.1	18.5	23.8
1940 	JAN 		6.4	220.8		30.5	19.7	25.1
1941 	JAN 		10.2	215.1		30.9	19.6	25.3
1942 	JAN 		7.0	136.6		31.2	19.1	25.2
1943 	JAN 		4.9	325.6	74	28.5	17.9	23.2
1944 	JAN 		8.4	118.7	70	31.3	18.6	24.9
1945 	JAN 		5.8	322.0	74	29.6	18.9	24.2
1946 	JAN 		4.5	202.9	77	29.4	19.0	24.2
1947 	JAN 		4.8	352.7	80	28.2	19.2	23.7
1948 	JAN 		5.3	313.5	74	30.2	19.1	24.7
1949 	JAN 		6.9	210.8	68	29.5	18.4	23.9
1950 	JAN 		3.9	231.0	79	28.2	19.1	23.7
1951 	JAN 		4.7	284.7	81	28.3	18.2	23.2
1952 	JAN 		6.4	207.0	72	30.3	18.7	24.5
1953 	JAN 		6.2	251.6	69	30.3	18.9	24.6
1954 	JAN 		6.0	189.4	73	31.6	18.8	25.2
1955 	JAN 		5.5	272.8	75	30.5	18.1	24.3
1956 	JAN 		9.6	60.8	63	33.0	19.7	26.4
1957 	JAN 		6.7	313.6	76	29.3	18.1	23.7
1958 	JAN 		7.2	295.6	72	30.4	18.9	24.6
1959 	JAN 		6.5	258.4	75	30.0	19.4	24.7
1960 	JAN 		7.2	371.9	76	29.8	17.9	23.8
1961 	JAN 		5.9	135.5	76	29.6	19.3	24.5
1962 	JAN 		6.9	132.3	75	29.4	18.0	23.7
1963 	JAN 		3.3	308.4	81	29.8	19.7	24.8
1964 	JAN 		7.6	69.4	69	31.2	18.3	24.7
1965 	JAN 		4.8	326.6	76	27.5	17.9	22.7
1966 	JAN 		5.9	252.1	76	30.2	19.3	24.8
1967 	JAN 		6.3	272.2	79	29.5	18.7	24.1
1968 	JAN 		6.1	322.5	75	29.7	18.0	23.8
1969 	JAN 		7.9	126.1	73	32.1	18.8	25.5
1970 	JAN 		6.7	263.8	80	29.4	18.0	23.7
1971 	JAN 		8.3	180.6	68	31.7	18.7	25.2
1972 	JAN 		7.1	255.1	71	28.9	18.9	23.9
1973 	JAN 			121.1				
1974 	JAN 			147.1				
1975 	JAN 		5.8	168.1	76	29.4	18.5	23.9
1976 	JAN 		5.4	295.2	80	30.3	18.2	24.3
1977 	JAN 		4.3	322.7	84	29.5	20.1	24.8
1978 	JAN 	494	7.3	112.6	76	31.2	18.3	24.8
1979 	JAN 	462	6.4	122.4	75	28.6	15.8	22.2
1980 	JAN 	379	7.5	147.6	80	29.7	18.2	22.2
1981 	JAN 	364	5.1	290.1		28.0	18.6	22.3
1982 	JAN 	536	5.0	260.0	80	28.8	17.6	23.2
1983 	JAN 	514	4.9	207.5	81	29.5	19.6	24.5
1984 	JAN 	605	7.7	91.5	75	32.2	19.6	25.9
